Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
1,Port 2: NDI 8700340  s/n:34802401,8187,1,OK,0.6935182,-0.0544151,-0.7173587,-0.0383144,-23.427,-65.213,-1262.604,0.3422942,4,OK,-23.159,-65.189,-1262.852,OK,-72.920,-58.642,-1263.916,OK,-119.240,-27.518,-1266.722,OK,-160.774,-72.324,-1266.940
1,Port 2: NDI 8700340  s/n:34802401,8190,1,OK,0.6957942,-0.0515750,-0.7154941,-0.0357569,-23.509,-66.385,-1261.753,0.3443784,4,OK,-23.245,-66.356,-1262.005,OK,-73.058,-60.193,-1262.762,OK,-119.628,-29.423,-1265.279,OK,-160.820,-74.531,-1265.282
1,Port 2: NDI 8700340  s/n:34802401,8193,1,OK,0.6997110,-0.0579945,-0.7115862,-0.0261952,-23.416,-66.723,-1260.241,0.3326289,4,OK,-23.159,-66.693,-1260.485,OK,-73.003,-60.754,-1260.787,OK,-119.718,-30.215,-1263.367,OK,-160.724,-75.475,-1261.866
1,Port 2: NDI 8700340  s/n:34802401,8196,1,OK,0.7045261,-0.0697884,-0.7061157,-0.0131632,-23.187,-66.364,-1258.419,0.3261454,4,OK,-22.945,-66.352,-1258.664,OK,-72.779,-60.446,-1258.347,OK,-119.584,-30.061,-1261.186,OK,-160.477,-75.276,-1257.456
1,Port 2: NDI 8700340  s/n:34802401,8199,1,OK,0.7092967,-0.0877299,-0.6994042,0.0059459,-22.870,-65.574,-1256.544,0.2928498,4,OK,-22.650,-65.564,-1256.756,OK,-72.459,-59.682,-1255.885,OK,-119.332,-29.490,-1259.293,OK,-160.105,-74.463,-1252.454
1,Port 2: NDI 8700340  s/n:34802401,8202,1,OK,0.7128130,-0.0911020,-0.6953424,0.0098506,-22.657,-65.415,-1255.007,0.3024490,4,OK,-22.435,-65.412,-1255.231,OK,-72.236,-59.509,-1253.826,OK,-119.148,-29.357,-1257.016,OK,-159.841,-74.270,-1249.279
1,Port 2: NDI 8700340  s/n:34802401,8205,1,OK,0.7140232,-0.1039623,-0.6919411,0.0240874,-22.519,-64.971,-1254.348,0.2755632,4,OK,-22.304,-64.979,-1254.541,OK,-72.101,-59.100,-1253.008,OK,-119.092,-29.170,-1256.854,OK,-159.619,-73.822,-1247.055
1,Port 2: NDI 8700340  s/n:34802401,8208,1,OK,0.7161380,-0.1079601,-0.6890231,0.0271685,-22.310,-64.474,-1253.349,0.2698369,4,OK,-22.108,-64.477,-1253.538,OK,-71.864,-58.506,-1251.702,OK,-118.832,-28.521,-1255.471,OK,-159.367,-72.993,-1244.937
1,Port 2: NDI 8700340  s/n:34802401,8211,1,OK,0.7179756,-0.1113442,-0.6864838,0.0292151,-22.118,-63.929,-1252.585,0.2843909,4,OK,-21.916,-63.940,-1252.798,OK,-71.650,-57.822,-1250.625,OK,-118.567,-27.758,-1254.363,OK,-159.132,-72.059,-1243.239
1,Port 2: NDI 8700340  s/n:34802401,8214,1,OK,0.7187343,-0.1127088,-0.6854117,0.0304708,-22.039,-63.784,-1252.254,0.2649142,4,OK,-21.836,-63.794,-1252.434,OK,-71.567,-57.647,-1250.237,OK,-118.478,-27.599,-1253.878,OK,-159.033,-71.825,-1242.487
1,Port 2: NDI 8700340  s/n:34802401,8217,1,OK,0.7180661,-0.1058427,-0.6875457,0.0214312,-22.085,-63.796,-1252.557,0.2813932,4,OK,-21.871,-63.805,-1252.761,OK,-71.610,-57.555,-1250.636,OK,-118.406,-27.270,-1253.925,OK,-159.156,-71.632,-1243.742
1,Port 2: NDI 8700340  s/n:34802401,8220,1,OK,0.7162610,-0.1116124,-0.6884034,0.0247720,-22.077,-63.069,-1253.389,0.2668057,4,OK,-21.869,-63.079,-1253.570,OK,-71.582,-56.661,-1251.750,OK,-118.288,-26.297,-1255.545,OK,-159.198,-70.391,-1244.913
1,Port 2: NDI 8700340  s/n:34802401,8223,1,OK,0.7133397,-0.1196620,-0.6900166,0.0265424,-22.019,-61.538,-1254.775,0.2798785,4,OK,-21.817,-61.551,-1254.978,OK,-71.477,-54.713,-1253.506,OK,-117.915,-24.032,-1258.088,OK,-159.241,-67.638,-1247.079
1,Port 2: NDI 8700340  s/n:34802401,8226,1,OK,0.7066772,-0.1325553,-0.6942190,0.0331118,-22.099,-59.934,-1257.625,0.2608512,4,OK,-21.897,-59.952,-1257.797,OK,-71.517,-52.741,-1257.312,OK,-117.661,-21.882,-1263.387,OK,-159.458,-64.869,-1251.724
1,Port 2: NDI 8700340  s/n:34802401,8229,1,OK,0.6951616,-0.1344551,-0.7054073,0.0327509,-22.575,-59.953,-1262.643,0.2567453,4,OK,-22.368,-59.970,-1262.802,OK,-71.985,-52.792,-1263.958,OK,-117.920,-21.994,-1271.629,OK,-160.050,-64.949,-1261.118
1,Port 2: NDI 8700340  s/n:34802401,8232,1,OK,0.6787135,-0.1261290,-0.7226043,0.0358121,-23.528,-63.415,-1269.646,0.2651724,4,OK,-23.282,-63.433,-1269.782,OK,-72.977,-57.303,-1273.218,OK,-119.169,-27.488,-1282.851,OK,-160.812,-71.390,-1274.430
1,Port 2: NDI 8700340  s/n:34802401,8235,1,OK,0.6603825,-0.1097729,-0.7416182,0.0429807,-24.408,-69.651,-1277.234,0.2659622,4,OK,-24.161,-69.652,-1277.364,OK,-73.824,-65.458,-1283.192,OK,-120.634,-37.386,-1294.881,OK,-160.862,-82.955,-1288.866
1,Port 2: NDI 8700340  s/n:34802401,8238,1,OK,0.6443371,-0.0920317,-0.7573306,0.0530109,-24.815,-76.629,-1283.554,0.2946398,4,OK,-24.559,-76.625,-1283.712,OK,-74.076,-74.572,-1291.437,OK,-121.592,-48.527,-1304.965,OK,-159.962,-95.874,-1300.852
1,Port 2: NDI 8700340  s/n:34802401,8241,1,OK,0.6343015,-0.0733315,-0.7670820,0.0622028,-24.900,-83.340,-1287.200,0.2999714,4,OK,-24.627,-83.327,-1287.348,OK,-73.984,-83.321,-1296.255,OK,-122.283,-59.202,-1310.711,OK,-158.648,-108.193,-1307.946
1,Port 2: NDI 8700340  s/n:34802401,8244,1,OK,0.6315173,-0.0572556,-0.7700617,0.0700905,-24.879,-88.857,-1287.932,0.3150222,4,OK,-24.594,-88.820,-1288.085,OK,-73.878,-90.514,-1297.220,OK,-122.937,-67.986,-1311.737,OK,-157.591,-118.265,-1309.561
