Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
1,Port 2: NDI 8700340  s/n:34802401,10647,1,OK,0.7037849,-0.2319572,-0.6680566,-0.0676982,-7.142,168.891,-1234.677,0.2281555,4,OK,-7.006,168.777,-1234.818,OK,-52.446,189.858,-1234.463,OK,-87.93,232.617,-1240.642,OK,-140.23,203.142,-1228.845
1,Port 2: NDI 8700340  s/n:34802401,10650,1,OK,0.7098945,-0.2350501,-0.6603113,-0.0692108,-6.155,170.133,-1231.88,0.2278475,4,OK,-6.02,170.016,-1232.026,OK,-51.26,191.497,-1230.778,OK,-86.462,234.615,-1236.238,OK,-138.795,205.564,-1223.497
1,Port 2: NDI 8700340  s/n:34802401,10653,1,OK,0.7149308,-0.2373851,-0.6537913,-0.0712684,-5.267,171.231,-1229.596,0.2341592,4,OK,-5.132,171.124,-1229.757,OK,-50.177,192.965,-1227.73,OK,-85.076,236.377,-1232.56,OK,-137.465,207.754,-1219.101
1,Port 2: NDI 8700340  s/n:34802401,10656,1,OK,0.7198478,-0.2413292,-0.6468333,-0.0720142,-4.23,172.493,-1227.373,0.2444177,4,OK,-4.098,172.377,-1227.545,OK,-48.898,194.628,-1224.778,OK,-83.509,238.344,-1229.109,OK,-135.914,210.195,-1214.742
1,Port 2: NDI 8700340  s/n:34802401,10659,1,OK,0.7240226,-0.2419333,-0.6416317,-0.0746208,-3.445,173.27,-1225.368,0.234111,4,OK,-3.312,173.159,-1225.532,OK,-47.945,195.669,-1222.149,OK,-82.313,239.634,-1225.824,OK,-134.715,211.752,-1210.993
1,Port 2: NDI 8700340  s/n:34802401,10662,1,OK,0.7285254,-0.2462352,-0.6347502,-0.0755716,-2.337,174.607,-1223.464,0.2166613,4,OK,-2.208,174.492,-1223.602,OK,-46.574,197.45,-1219.628,OK,-80.558,241.716,-1222.78,OK,-132.988,214.365,-1207.063
1,Port 2: NDI 8700340  s/n:34802401,10665,1,OK,0.733197,-0.2511243,-0.6271395,-0.0778129,-0.894,176.306,-1221.198,0.2259667,4,OK,-0.77,176.188,-1221.357,OK,-44.767,199.695,-1216.614,OK,-78.258,244.4,-1219.281,OK,-130.74,217.708,-1202.67
1,Port 2: NDI 8700340  s/n:34802401,10668,1,OK,0.7382132,-0.2559777,-0.6187684,-0.0815012,0.807,178.253,-1218.77,0.20176,4,OK,0.917,178.136,-1218.892,OK,-42.63,202.3,-1213.459,OK,-75.475,247.477,-1215.406,OK,-128.057,221.556,-1197.912
1,Port 2: NDI 8700340  s/n:34802401,10671,1,OK,0.7432663,-0.2600062,-0.6105554,-0.0846996,2.424,179.914,-1216.354,0.197759,4,OK,2.535,179.797,-1216.474,OK,-40.608,204.515,-1210.247,OK,-72.868,250.124,-1211.536,OK,-125.479,224.852,-1193.174
1,Port 2: NDI 8700340  s/n:34802401,10674,1,OK,0.7479979,-0.2624404,-0.603216,-0.0880603,3.875,181.183,-1213.956,0.2071285,4,OK,3.974,181.055,-1214.079,OK,-38.766,206.233,-1207.086,OK,-70.548,252.211,-1207.701,OK,-123.174,227.404,-1188.622
1,Port 2: NDI 8700340  s/n:34802401,10677,1,OK,0.7528872,-0.2656703,-0.5954617,-0.0894741,5.289,182.327,-1211.621,0.2063958,4,OK,5.394,182.193,-1211.74,OK,-36.999,207.763,-1204.007,OK,-68.354,254.039,-1204.025,OK,-120.875,229.692,-1184.052
1,Port 2: NDI 8700340  s/n:34802401,10680,1,OK,0.7577525,-0.2662983,-0.5886144,-0.0918122,6.475,182.984,-1209.243,0.2048058,4,OK,6.576,182.857,-1209.358,OK,-35.511,208.662,-1200.866,OK,-66.53,255.166,-1200.142,OK,-118.934,231.073,-1179.515
1,Port 2: NDI 8700340  s/n:34802401,10683,1,OK,0.762617,-0.2655708,-0.5821589,-0.0947545,7.579,183.365,-1206.726,0.1982762,4,OK,7.672,183.236,-1206.838,OK,-34.133,209.237,-1197.56,OK,-64.85,255.907,-1196.013,OK,-117.092,231.964,-1174.871
1,Port 2: NDI 8700340  s/n:34802401,10686,1,OK,0.7686045,-0.2672783,-0.573347,-0.0953033,9.061,184.036,-1203.909,0.1979768,4,OK,9.156,183.904,-1204.023,OK,-32.29,210.143,-1193.821,OK,-62.668,257.009,-1191.513,OK,-114.619,233.33,-1169.374
1,Port 2: NDI 8700340  s/n:34802401,10689,1,OK,0.774478,-0.2681871,-0.5648474,-0.0959525,10.466,184.494,-1201.113,0.1986833,4,OK,10.558,184.357,-1201.219,OK,-30.533,210.788,-1190.128,OK,-60.597,257.807,-1187.014,OK,-112.248,234.308,-1163.949
1,Port 2: NDI 8700340  s/n:34802401,10692,1,OK,0.7795612,-0.2664947,-0.5581509,-0.0986531,11.602,184.547,-1198.46,0.2005467,4,OK,11.689,184.411,-1198.58,OK,-29.102,210.927,-1186.613,OK,-58.894,258.062,-1182.638,OK,-110.312,234.589,-1159.065
1,Port 2: NDI 8700340  s/n:34802401,10695,1,OK,0.7847168,-0.2637216,-0.5517241,-0.1013452,12.641,184.368,-1195.802,0.2005085,4,OK,12.729,184.226,-1195.916,OK,-27.805,210.761,-1183.111,OK,-57.364,257.943,-1178.174,OK,-108.543,234.373,-1154.157
1,Port 2: NDI 8700340  s/n:34802401,10698,1,OK,0.7899798,-0.2605359,-0.5453026,-0.1034311,13.606,183.968,-1193.115,0.2053186,4,OK,13.7,183.828,-1193.245,OK,-26.6,210.285,-1179.534,OK,-55.989,257.485,-1173.666,OK,-106.872,233.741,-1149.196
1,Port 2: NDI 8700340  s/n:34802401,10701,1,OK,0.7956439,-0.260141,-0.5374208,-0.1022566,14.819,183.795,-1190.4,0.1967389,4,OK,14.901,183.649,-1190.522,OK,-25.104,210.1,-1175.961,OK,-54.35,257.267,-1169.326,OK,-104.74,233.465,-1143.994
1,Port 2: NDI 8700340  s/n:34802401,10704,1,OK,0.8015575,-0.2596102,-0.5293394,-0.0995381,15.929,183.376,-1187.684,0.1989827,4,OK,16.012,183.221,-1187.8,OK,-23.736,209.574,-1172.373,OK,-52.931,256.668,-1164.996,OK,-102.749,232.688,-1138.697
1,Port 2: NDI 8700340  s/n:34802401,10707,1,OK,0.8072144,-0.2571778,-0.5224648,-0.0964108,16.656,182.414,-1185.11,0.2033132,4,OK,16.741,182.261,-1185.227,OK,-22.866,208.324,-1168.953,OK,-52.127,255.262,-1160.83,OK,-101.382,230.853,-1133.722
1,Port 2: NDI 8700340  s/n:34802401,10710,1,OK,0.8123644,-0.2530527,-0.5165094,-0.0961586,17.361,181.395,-1182.594,0.1956235,4,OK,17.439,181.242,-1182.701,OK,-21.985,207.034,-1165.631,OK,-51.272,253.793,-1156.575,OK,-100.037,228.996,-1129.034
1,Port 2: NDI 8700340  s/n:34802401,10713,1,OK,0.8169113,-0.2479464,-0.5117836,-0.0962086,17.892,180.177,-1180.228,0.1981421,4,OK,17.976,180.018,-1180.339,OK,-21.355,205.476,-1162.522,OK,-50.703,252.018,-1152.595,OK,-99.059,226.714,-1124.792
1,Port 2: NDI 8700340  s/n:34802401,10716,1,OK,0.8214972,-0.244147,-0.5063998,-0.0953619,18.525,179.179,-1178.085,0.2057621,4,OK,18.613,179.02,-1178.218,OK,-20.568,204.179,-1159.619,OK,-49.949,250.542,-1148.935,OK,-97.85,224.824,-1120.716
1,Port 2: NDI 8700340  s/n:34802401,10719,1,OK,0.8246228,-0.2379457,-0.5039493,-0.097027,18.705,177.759,-1176.257,0.2009828,4,OK,18.785,177.602,-1176.381,OK,-20.362,202.387,-1157.259,OK,-49.822,248.51,-1145.763,OK,-97.495,222.253,-1117.659
1,Port 2: NDI 8700340  s/n:34802401,10722,1,OK,0.8277771,-0.2325338,-0.5014337,-0.0963191,18.715,176.271,-1174.7,0.208252,4,OK,18.801,176.114,-1174.847,OK,-20.371,200.462,-1155.162,OK,-50.038,246.292,-1143.037,OK,-97.36,219.463,-1114.891
1,Port 2: NDI 8700340  s/n:34802401,10725,1,OK,0.8306357,-0.2255548,-0.5002539,-0.0944211,18.286,174.231,-1173.3,0.2163063,4,OK,18.386,174.077,-1173.478,OK,-20.971,197.8,-1153.279,OK,-51.029,243.188,-1140.566,OK,-97.954,215.573,-1112.521
1,Port 2: NDI 8700340  s/n:34802401,10728,1,OK,0.8338166,-0.218045,-0.4983507,-0.0940895,18.075,172.211,-1171.699,0.2264993,4,OK,18.175,172.059,-1171.902,OK,-21.254,195.191,-1151.119,OK,-51.619,240.153,-1137.659,OK,-98.162,211.799,-1109.779
1,Port 2: NDI 8700340  s/n:34802401,10731,1,OK,0.8380625,-0.2152608,-0.4932372,-0.0896165,18.567,170.905,-1169.788,0.217142,4,OK,18.665,170.756,-1169.978,OK,-20.67,193.472,-1148.604,OK,-51.231,238.136,-1134.55,OK,-97.119,209.281,-1106.102
1,Port 2: NDI 8700340  s/n:34802401,10734,1,OK,0.8430417,-0.2130395,-0.4864401,-0.0852693,19.334,169.895,-1167.875,0.2515389,4,OK,19.443,169.725,-1168.1,OK,-19.651,192.13,-1145.908,OK,-50.344,236.493,-1131.207,OK,-95.509,207.248,-1102.029
1,Port 2: NDI 8700340  s/n:34802401,10737,1,OK,0.8474334,-0.2109944,-0.4803378,-0.081324,20.268,168.87,-1165.703,0.2402938,4,OK,20.372,168.711,-1165.936,OK,-18.542,190.78,-1143.032,OK,-49.268,234.898,-1127.763,OK,-93.729,205.276,-1097.969
1,Port 2: NDI 8700340  s/n:34802401,10740,1,OK,0.8519998,-0.2103279,-0.473408,-0.075785,21.335,168.051,-1163.61,0.2422732,4,OK,21.434,167.889,-1163.844,OK,-17.222,189.689,-1140.255,OK,-48.006,233.581,-1124.473,OK,-91.687,203.64,-1093.83
1,Port 2: NDI 8700340  s/n:34802401,10743,1,OK,0.856221,-0.2077827,-0.4674258,-0.0722839,22.177,167.011,-1161.72,0.2474971,4,OK,22.274,166.852,-1161.973,OK,-16.167,188.312,-1137.663,OK,-46.99,231.931,-1121.281,OK,-89.973,201.615,-1090.109
1,Port 2: NDI 8700340  s/n:34802401,10746,1,OK,0.859927,-0.2043975,-0.4624827,-0.0696916,22.896,165.843,-1159.954,0.2441442,4,OK,23.01,165.674,-1160.199,OK,-15.271,186.779,-1135.339,OK,-46.167,230.108,-1118.267,OK,-88.557,199.37,-1086.744
1,Port 2: NDI 8700340  s/n:34802401,10749,1,OK,0.863651,-0.201177,-0.457426,-0.066303,23.593,164.614,-1158.196,0.2574026,4,OK,23.698,164.449,-1158.463,OK,-14.391,185.158,-1132.949,OK,-45.375,228.186,-1115.324,OK,-87.138,196.987,-1083.384
1,Port 2: NDI 8700340  s/n:34802401,10752,1,OK,0.8670167,-0.1962543,-0.4535062,-0.0640184,24.039,163.049,-1156.578,0.263911,4,OK,24.148,162.887,-1156.859,OK,-13.836,183.102,-1130.764,OK,-44.961,225.746,-1112.48,OK,-86.156,193.998,-1080.393
1,Port 2: NDI 8700340  s/n:34802401,10755,1,OK,0.8705179,-0.1928991,-0.4488792,-0.0591268,24.556,161.614,-1154.99,0.2653884,4,OK,24.676,161.449,-1155.278,OK,-13.206,181.204,-1128.628,OK,-44.513,223.45,-1109.803,OK,-84.964,191.195,-1077.313
1,Port 2: NDI 8700340  s/n:34802401,10758,1,OK,0.8738524,-0.1889246,-0.4447855,-0.0534357,24.898,159.923,-1153.511,0.2678935,4,OK,25.026,159.76,-1153.807,OK,-12.795,178.949,-1126.624,OK,-44.384,220.751,-1107.284,OK,-84.045,187.882,-1074.438
1,Port 2: NDI 8700340  s/n:34802401,10761,1,OK,0.8767454,-0.1866679,-0.4408289,-0.0462878,25.251,158.553,-1152.233,0.2708243,4,OK,25.373,158.393,-1152.536,OK,-12.363,177.1,-1124.904,OK,-44.281,218.499,-1105.232,OK,-83.101,185.138,-1071.891
1,Port 2: NDI 8700340  s/n:34802401,10764,1,OK,0.8790593,-0.1825732,-0.438481,-0.0406955,25.267,156.849,-1151.213,0.2608691,4,OK,25.402,156.684,-1151.5,OK,-12.37,174.829,-1123.57,OK,-44.66,215.744,-1103.448,OK,-82.776,181.791,-1069.926
1,Port 2: NDI 8700340  s/n:34802401,10767,1,OK,0.8814891,-0.1807302,-0.4350441,-0.0324072,25.485,155.488,-1150.209,0.2502207,4,OK,25.629,155.321,-1150.482,OK,-12.129,172.978,-1122.228,OK,-44.797,213.464,-1101.827,OK,-82.013,179.032,-1067.798
1,Port 2: NDI 8700340  s/n:34802401,10770,1,OK,0.8835556,-0.176163,-0.433143,-0.0261388,25.359,153.599,-1149.273,0.2784492,4,OK,25.526,153.436,-1149.593,OK,-12.301,170.434,-1120.913,OK,-45.408,210.391,-1100.199,OK,-81.897,175.308,-1066.014
1,Port 2: NDI 8700340  s/n:34802401,10773,1,OK,0.8851447,-0.1701227,-0.4325848,-0.021153,24.999,151.335,-1148.42,0.279823,4,OK,25.144,151.171,-1148.741,OK,-12.775,167.461,-1119.779,OK,-46.359,206.801,-1098.697,OK,-82.216,170.956,-1064.623
1,Port 2: NDI 8700340  s/n:34802401,10776,1,OK,0.8867342,-0.1636389,-0.4321002,-0.0146335,24.537,148.802,-1147.601,0.2885513,4,OK,24.683,148.639,-1147.934,OK,-13.383,164.102,-1118.683,OK,-47.541,202.729,-1097.235,OK,-82.646,166.051,-1063.238
1,Port 2: NDI 8700340  s/n:34802401,10779,1,OK,0.8882777,-0.1558741,-0.4319573,-0.0088863,24.069,145.952,-1146.781,0.2920022,4,OK,24.209,145.8,-1147.123,OK,-14,160.331,-1117.584,OK,-48.743,198.185,-1095.69,OK,-83.106,160.603,-1061.929
1,Port 2: NDI 8700340  s/n:34802401,10782,1,OK,0.8901864,-0.1505418,-0.4300055,-0.0007589,23.997,143.613,-1145.822,0.2992825,4,OK,24.14,143.461,-1146.176,OK,-14.107,157.203,-1116.285,OK,-49.393,194.322,-1094.008,OK,-82.775,156.04,-1060.133
1,Port 2: NDI 8700340  s/n:34802401,10785,1,OK,0.8923378,-0.1430563,-0.42807,0.0049178,24.063,140.842,-1144.607,0.2908974,4,OK,24.199,140.697,-1144.953,OK,-14.047,153.547,-1114.687,OK,-49.763,189.898,-1091.819,OK,-82.268,150.788,-1058.084
1,Port 2: NDI 8700340  s/n:34802401,10788,1,OK,0.8951079,-0.1396046,-0.4232418,0.0126032,24.869,139.122,-1143.088,0.2927139,4,OK,25.007,138.979,-1143.441,OK,-13.058,151.237,-1112.635,OK,-48.989,187.039,-1089.312,OK,-80.428,147.421,-1055.18
1,Port 2: NDI 8700340  s/n:34802401,10791,1,OK,0.8980937,-0.1348696,-0.418255,0.0173411,25.863,137.321,-1141.436,0.3003562,4,OK,25.991,137.18,-1141.799,OK,-11.799,148.864,-1110.411,OK,-47.812,184.146,-1086.472,OK,-78.373,144.002,-1052.143
1,Port 2: NDI 8700340  s/n:34802401,10794,1,OK,0.9012534,-0.1305098,-0.4126731,0.0202584,27.067,135.901,-1139.761,0.2994505,4,OK,27.195,135.765,-1140.127,OK,-10.265,146.975,-1108.15,OK,-46.2,181.846,-1083.504,OK,-75.965,141.299,-1049.043
1,Port 2: NDI 8700340  s/n:34802401,10797,1,OK,0.9043184,-0.125459,-0.4073733,0.0227012,28.27,134.278,-1138.083,0.2961511,4,OK,28.398,134.139,-1138.448,OK,-8.721,144.848,-1105.927,OK,-44.583,179.281,-1080.533,OK,-73.625,138.239,-1045.991
1,Port 2: NDI 8700340  s/n:34802401,10800,1,OK,0.9075291,-0.1216145,-0.401234,0.0247421,29.655,133.099,-1136.426,0.3055888,4,OK,29.792,132.96,-1136.807,OK,-6.931,143.295,-1103.667,OK,-42.597,177.381,-1077.562,OK,-70.914,136.012,-1042.864
1,Port 2: NDI 8700340  s/n:34802401,10803,1,OK,0.9105675,-0.1202131,-0.3944658,0.0285035,31.251,132.467,-1134.808,0.2980211,4,OK,31.388,132.33,-1135.183,OK,-4.894,142.435,-1101.486,OK,-40.335,176.324,-1074.818,OK,-67.848,134.765,-1039.675
1,Port 2: NDI 8700340  s/n:34802401,10806,1,OK,0.913425,-0.1175536,-0.388454,0.0306498,32.703,131.638,-1133.316,0.3121848,4,OK,32.829,131.504,-1133.709,OK,-3.017,141.329,-1099.424,OK,-38.236,174.964,-1072.191,OK,-65.068,133.172,-1036.827
1,Port 2: NDI 8700340  s/n:34802401,10809,1,OK,0.9159392,-0.1173935,-0.3822227,0.0343508,34.201,131.349,-1131.932,0.2998722,4,OK,34.321,131.21,-1132.31,OK,-1.078,140.94,-1097.593,OK,-36.092,174.454,-1069.899,OK,-62.2,132.597,-1034.056
1,Port 2: NDI 8700340  s/n:34802401,10812,1,OK,0.9181482,-0.1143172,-0.3776911,0.0358443,35.361,130.416,-1130.718,0.2914965,4,OK,35.485,130.279,-1131.087,OK,0.382,139.711,-1095.966,OK,-34.429,172.954,-1067.746,OK,-59.991,130.829,-1031.833
1,Port 2: NDI 8700340  s/n:34802401,10815,1,OK,0.9201426,-0.111981,-0.3733951,0.0370678,36.42,129.695,-1129.658,0.2969369,4,OK,36.539,129.558,-1130.035,OK,1.762,138.766,-1094.518,OK,-32.866,171.822,-1065.862,OK,-57.959,129.476,-1029.836
1,Port 2: NDI 8700340  s/n:34802401,10818,1,OK,0.9218311,-0.109366,-0.3698364,0.0385691,37.305,128.862,-1128.723,0.2927819,4,OK,37.425,128.733,-1129.098,OK,2.894,137.664,-1093.262,OK,-31.6,170.476,-1064.192,OK,-56.23,127.911,-1028.123
1,Port 2: NDI 8700340  s/n:34802401,10821,1,OK,0.9235559,-0.105643,-0.3665476,0.0390769,38.18,127.758,-1127.777,0.2955699,4,OK,38.303,127.629,-1128.159,OK,4.024,136.234,-1092.001,OK,-30.336,168.751,-1062.446,OK,-54.586,125.868,-1026.448
1,Port 2: NDI 8700340  s/n:34802401,10824,1,OK,0.9255068,-0.1022196,-0.3625236,0.0395599,39.226,126.775,-1126.723,0.2959159,4,OK,39.343,126.652,-1127.106,OK,5.371,134.937,-1090.563,OK,-28.788,167.208,-1060.507,OK,-52.571,124.054,-1024.583
1,Port 2: NDI 8700340  s/n:34802401,10827,1,OK,0.9277373,-0.0980429,-0.3579441,0.0395874,40.548,125.614,-1125.481,0.2696505,4,OK,40.655,125.488,-1125.828,OK,7.048,133.432,-1088.953,OK,-26.846,165.401,-1058.24,OK,-50.161,121.904,-1022.415
1,Port 2: NDI 8700340  s/n:34802401,10830,1,OK,0.930149,-0.0960014,-0.3519854,0.0413859,42.104,124.993,-1124.209,0.2753956,4,OK,42.218,124.87,-1124.571,OK,9.067,132.599,-1087.218,OK,-24.526,164.389,-1055.979,OK,-47.223,120.711,-1019.943
1,Port 2: NDI 8700340  s/n:34802401,10833,1,OK,0.9324682,-0.0940985,-0.3460006,0.0439554,43.671,124.34,-1122.963,0.2773089,4,OK,43.785,124.22,-1123.329,OK,11.081,131.715,-1085.503,OK,-22.227,163.312,-1053.776,OK,-44.214,119.459,-1017.531
1,Port 2: NDI 8700340  s/n:34802401,10836,1,OK,0.9347005,-0.0919109,-0.3401017,0.0470977,45.195,123.57,-1121.746,0.279103,4,OK,45.315,123.453,-1122.12,OK,13.059,130.684,-1083.846,OK,-19.997,162.029,-1051.63,OK,-41.262,117.953,-1015.135
1,Port 2: NDI 8700340  s/n:34802401,10839,1,OK,0.9369025,-0.0910042,-0.3336149,0.0513131,46.871,123.114,-1120.547,0.2592979,4,OK,46.982,123,-1120.895,OK,15.226,130.048,-1082.22,OK,-17.568,161.207,-1049.54,OK,-37.98,117.04,-1012.694
1,Port 2: NDI 8700340  s/n:34802401,10842,1,OK,0.9389106,-0.0886838,-0.3279635,0.0549719,48.387,122.298,-1119.381,0.2698477,4,OK,48.502,122.184,-1119.744,OK,17.173,128.937,-1080.614,OK,-15.411,159.808,-1047.481,OK,-35.015,115.445,-1010.477
1,Port 2: NDI 8700340  s/n:34802401,10845,1,OK,0.9404678,-0.0860247,-0.3235595,0.0585604,49.592,121.316,-1118.426,0.252426,4,OK,49.692,121.199,-1118.76,OK,18.727,127.63,-1079.351,OK,-13.751,158.181,-1045.779,OK,-32.623,113.57,-1008.707
1,Port 2: NDI 8700340  s/n:34802401,10848,1,OK,0.941512,-0.0835167,-0.3205422,0.0619105,50.373,120.37,-1117.78,0.2444649,4,OK,50.473,120.259,-1118.102,OK,19.732,126.363,-1078.47,OK,-12.701,156.593,-1044.592,OK,-30.98,111.773,-1007.496
1,Port 2: NDI 8700340  s/n:34802401,10851,1,OK,0.9421336,-0.0784781,-0.3199541,0.0620865,50.609,118.862,-1117.385,0.2634473,4,OK,50.709,118.748,-1117.726,OK,20.031,124.381,-1077.922,OK,-12.444,154.168,-1043.707,OK,-30.459,108.97,-1007.046
1,Port 2: NDI 8700340  s/n:34802401,10854,1,OK,0.942415,-0.0740865,-0.3199743,0.0630999,50.636,117.494,-1117.158,0.2637931,4,OK,50.737,117.375,-1117.496,OK,20.071,122.57,-1077.639,OK,-12.53,151.939,-1043.143,OK,-30.281,106.38,-1006.843
1,Port 2: NDI 8700340  s/n:34802401,10857,1,OK,0.9428493,-0.0702384,-0.3193111,0.0643592,50.849,116.214,-1116.859,0.264088,4,OK,50.949,116.105,-1117.199,OK,20.338,120.879,-1077.226,OK,-12.307,149.901,-1042.498,OK,-29.768,104.004,-1006.441
