Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
1,Port 2: NDI 8700340  s/n:34802401,41229,1,OK,0.8344208,0.0109303,-0.536358,0.126264,-31.216,-47.596,-1285.641,0.3710831,4,OK,-30.944,-47.557,-1286.047,OK,-75.693,-55.155,-1264.024,OK,-126.143,-38.914,-1246.143,OK,-146.4,-92.558,-1225.393
1,Port 2: NDI 8700340  s/n:34802401,41232,1,OK,0.8304666,0.0088562,-0.5414549,0.1306651,-32.19,-47.822,-1287.321,0.3632045,4,OK,-31.917,-47.784,-1287.713,OK,-76.908,-55.501,-1266.267,OK,-127.68,-39.45,-1249.154,OK,-147.904,-93.073,-1228.305
1,Port 2: NDI 8700340  s/n:34802401,41235,1,OK,0.8260981,0.0091654,-0.5462349,0.1382225,-32.901,-49.225,-1288.945,0.3664958,4,OK,-32.628,-49.186,-1289.336,OK,-77.759,-57.392,-1268.408,OK,-128.979,-41.953,-1252.046,OK,-148.722,-95.719,-1231.111
1,Port 2: NDI 8700340  s/n:34802401,41238,1,OK,0.8229858,0.0150789,-0.5491671,0.1445079,-32.994,-51.885,-1289.89,0.3842033,4,OK,-32.74,-51.85,-1290.304,OK,-77.83,-60.911,-1269.631,OK,-129.422,-46.442,-1253.633,OK,-148.356,-100.646,-1233.025
1,Port 2: NDI 8700340  s/n:34802401,41241,1,OK,0.8148831,0.0125736,-0.5587423,0.1536701,-34.546,-52.959,-1293.076,0.3754126,4,OK,-34.307,-52.927,-1293.474,OK,-79.754,-62.408,-1273.872,OK,-131.922,-48.516,-1259.37,OK,-150.626,-102.765,-1238.63
1,Port 2: NDI 8700340  s/n:34802401,41244,1,OK,0.8055382,0.0066124,-0.5703535,0.1605037,-36.668,-52.945,-1297.189,0.3630451,4,OK,-36.422,-52.915,-1297.556,OK,-82.372,-62.454,-1279.331,OK,-135.082,-48.782,-1266.599,OK,-154.074,-102.847,-1245.719
1,Port 2: NDI 8700340  s/n:34802401,41247,1,OK,0.7997595,0.003415,-0.5782599,0.1612097,-38.089,-52.617,-1299.973,0.3472938,4,OK,-37.842,-52.596,-1300.315,OK,-84.17,-62.022,-1283.043,OK,-137.088,-48.282,-1271.405,OK,-156.547,-102.26,-1250.737
1,Port 2: NDI 8700340  s/n:34802401,41250,1,OK,0.7977902,0.0023052,-0.5820086,0.1574533,-38.821,-51.941,-1301.302,0.3753275,4,OK,-38.575,-51.913,-1301.677,OK,-85.095,-61.104,-1284.747,OK,-138.028,-47.055,-1273.582,OK,-158.041,-100.974,-1253.284
1,Port 2: NDI 8700340  s/n:34802401,41253,1,OK,0.7993125,0.0008192,-0.5809373,0.153658,-38.823,-50.86,-1300.931,0.3556198,4,OK,-38.573,-50.836,-1301.281,OK,-85.123,-59.669,-1284.297,OK,-137.91,-45.199,-1272.89,OK,-158.294,-98.99,-1252.625
1,Port 2: NDI 8700340  s/n:34802401,41256,1,OK,0.8019812,-0.0002468,-0.5776075,0.152301,-38.403,-50.222,-1299.821,0.3525525,4,OK,-38.152,-50.194,-1300.17,OK,-84.61,-58.824,-1282.807,OK,-137.232,-44.11,-1270.985,OK,-157.681,-97.79,-1250.492
1,Port 2: NDI 8700340  s/n:34802401,41259,1,OK,0.8033657,-0.0008947,-0.5756331,0.1524774,-38.097,-49.965,-1299.062,0.3405609,4,OK,-37.848,-49.936,-1299.394,OK,-84.235,-58.495,-1281.854,OK,-136.779,-43.712,-1269.781,OK,-157.196,-97.339,-1249.091
1,Port 2: NDI 8700340  s/n:34802401,41262,1,OK,0.80374,-0.0001527,-0.5749067,0.1532461,-37.907,-50.235,-1298.746,0.3351609,4,OK,-37.661,-50.207,-1299.077,OK,-84.008,-58.862,-1281.451,OK,-136.546,-44.172,-1269.287,OK,-156.809,-97.848,-1248.566
1,Port 2: NDI 8700340  s/n:34802401,41265,1,OK,0.8044468,0.0048462,-0.5739923,0.152888,-37.562,-51.475,-1298.456,0.3527651,4,OK,-37.309,-51.446,-1298.808,OK,-83.55,-60.466,-1281.026,OK,-136.126,-46.149,-1268.576,OK,-156.036,-100.085,-1248.222
1,Port 2: NDI 8700340  s/n:34802401,41268,1,OK,0.8019149,0.0030077,-0.5764177,0.1570545,-37.939,-51.771,-1299.369,0.3548211,4,OK,-37.687,-51.738,-1299.722,OK,-84.002,-60.89,-1282.213,OK,-136.746,-46.772,-1270.257,OK,-156.526,-100.66,-1249.675
1,Port 2: NDI 8700340  s/n:34802401,41271,1,OK,0.8021431,0.002432,-0.5757405,0.1583775,-37.808,-51.783,-1299.094,0.357061,4,OK,-37.56,-51.753,-1299.453,OK,-83.843,-60.921,-1281.846,OK,-136.587,-46.836,-1269.885,OK,-156.263,-100.707,-1249.136
1,Port 2: NDI 8700340  s/n:34802401,41274,1,OK,0.8042769,0.0053022,-0.5733974,0.1559679,-37.353,-52.091,-1298.264,0.3641336,4,OK,-37.104,-52.067,-1298.633,OK,-83.275,-61.279,-1280.736,OK,-135.923,-47.222,-1268.319,OK,-155.505,-101.203,-1247.792
1,Port 2: NDI 8700340  s/n:34802401,41277,1,OK,0.808535,0.0102942,-0.5682852,0.1523717,-36.328,-52.66,-1296.412,0.3788433,4,OK,-36.076,-52.628,-1296.801,OK,-81.981,-61.977,-1278.292,OK,-134.456,-47.973,-1264.973,OK,-153.81,-102.162,-1244.723
1,Port 2: NDI 8700340  s/n:34802401,41280,1,OK,0.8152853,0.0186707,-0.5608187,0.1429812,-34.875,-53.161,-1293.774,0.3779614,4,OK,-34.619,-53.121,-1294.17,OK,-80.202,-62.547,-1274.829,OK,-132.238,-48.439,-1260.033,OK,-151.542,-102.919,-1240.536
1,Port 2: NDI 8700340  s/n:34802401,41283,1,OK,0.8246608,0.0198133,-0.5486773,0.135997,-32.825,-51.952,-1289.641,0.396062,4,OK,-32.566,-51.918,-1290.069,OK,-77.666,-60.896,-1269.32,OK,-129.05,-46.24,-1252.88,OK,-148.394,-100.6,-1233.115
1,Port 2: NDI 8700340  s/n:34802401,41286,1,OK,0.8388254,0.0208116,-0.5293035,0.125605,-29.413,-50.003,-1283.354,0.3928426,4,OK,-29.148,-49.96,-1283.796,OK,-73.41,-58.279,-1260.962,OK,-123.643,-42.731,-1241.951,OK,-143.04,-96.889,-1221.648
1,Port 2: NDI 8700340  s/n:34802401,41289,1,OK,0.8530223,0.0140017,-0.5083283,0.1172999,-25.713,-46.202,-1276.805,0.4122739,4,OK,-25.432,-46.162,-1277.288,OK,-68.759,-53.262,-1252.196,OK,-117.638,-36.339,-1230.912,OK,-137.249,-89.84,-1209.223
1,Port 2: NDI 8700340  s/n:34802401,41292,1,OK,0.8677591,0.0057332,-0.4867217,0.1003157,-21.626,-40.853,-1270.265,0.423021,4,OK,-21.357,-40.829,-1270.778,OK,-63.661,-46.153,-1243.453,OK,-110.655,-27.225,-1219.843,OK,-131.246,-79.871,-1197.035
1,Port 2: NDI 8700340  s/n:34802401,41295,1,OK,0.8814089,-0.0067086,-0.4658213,0.0779985,-17.413,-33.816,-1264.346,0.4415836,4,OK,-17.152,-33.827,-1264.894,OK,-58.383,-36.794,-1235.504,OK,-103.138,-15.286,-1209.838,OK,-125.307,-66.696,-1185.856
