Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
1,Port 2: NDI 8700340  s/n:34802401,23701,1,OK,0.7223562,-0.0914133,-0.6813505,0.0748771,-159.629,236.347,-1446.948,0.2442987,4,OK,-159.352,236.369,-1446.997,OK,-209.509,237.975,-1444.193,OK,-259.025,263.436,-1447.278,OK,-295.074,216.167,-1433.703
1,Port 2: NDI 8700340  s/n:34802401,23704,1,OK,0.7223433,-0.0914500,-0.6813621,0.0748519,-159.639,236.367,-1447.078,0.2451721,4,OK,-159.364,236.385,-1447.132,OK,-209.523,238.007,-1444.317,OK,-259.024,263.465,-1447.416,OK,-295.088,216.192,-1433.840
1,Port 2: NDI 8700340  s/n:34802401,23707,1,OK,0.7218193,-0.0914034,-0.6819312,0.0747814,-159.673,236.317,-1447.257,0.2495181,4,OK,-159.391,236.330,-1447.287,OK,-209.565,237.962,-1444.615,OK,-259.062,263.396,-1447.734,OK,-295.141,216.121,-1434.222
1,Port 2: NDI 8700340  s/n:34802401,23710,1,OK,0.7213992,-0.0914849,-0.6823832,0.0746107,-159.695,236.349,-1447.399,0.2535425,4,OK,-159.411,236.359,-1447.453,OK,-209.582,238.009,-1444.776,OK,-259.081,263.449,-1448.008,OK,-295.191,216.178,-1434.546
1,Port 2: NDI 8700340  s/n:34802401,23713,1,OK,0.7214289,-0.0902833,-0.6826578,0.0732635,-159.713,236.339,-1447.541,0.2559683,4,OK,-159.443,236.364,-1447.596,OK,-209.594,237.992,-1444.935,OK,-259.084,263.443,-1448.088,OK,-295.221,216.175,-1434.823
1,Port 2: NDI 8700340  s/n:34802401,23716,1,OK,0.7213687,-0.0905845,-0.6826705,0.0733671,-159.711,236.408,-1447.539,0.2601542,4,OK,-159.435,236.437,-1447.621,OK,-209.590,238.066,-1444.896,OK,-259.077,263.542,-1448.126,OK,-295.231,216.284,-1434.835
1,Port 2: NDI 8700340  s/n:34802401,23719,1,OK,0.7213944,-0.0908956,-0.6825916,0.0734633,-159.701,236.445,-1447.490,0.2576563,4,OK,-159.422,236.467,-1447.563,OK,-209.578,238.124,-1444.854,OK,-259.068,263.613,-1448.078,OK,-295.220,216.367,-1434.755
1,Port 2: NDI 8700340  s/n:34802401,23722,1,OK,0.7214830,-0.0912959,-0.6823730,0.0741236,-159.690,236.439,-1447.445,0.2533041,4,OK,-159.413,236.460,-1447.487,OK,-209.576,238.108,-1444.841,OK,-259.057,263.572,-1448.014,OK,-295.194,216.329,-1434.600
1,Port 2: NDI 8700340  s/n:34802401,23725,1,OK,0.7216954,-0.0913913,-0.6820828,0.0746082,-159.673,236.371,-1447.339,0.2481396,4,OK,-159.392,236.387,-1447.392,OK,-209.561,238.016,-1444.675,OK,-259.058,263.475,-1447.860,OK,-295.153,216.194,-1434.374
1,Port 2: NDI 8700340  s/n:34802401,23728,1,OK,0.7219244,-0.0910031,-0.6818994,0.0745439,-159.655,236.344,-1447.214,0.2485086,4,OK,-159.380,236.363,-1447.252,OK,-209.542,237.970,-1444.545,OK,-259.051,263.397,-1447.646,OK,-295.115,216.120,-1434.175
1,Port 2: NDI 8700340  s/n:34802401,23731,1,OK,0.7220935,-0.0905239,-0.6817928,0.0744650,-159.652,236.229,-1447.139,0.2501288,4,OK,-159.375,236.252,-1447.186,OK,-209.540,237.825,-1444.433,OK,-259.054,263.238,-1447.510,OK,-295.105,215.922,-1434.058
1,Port 2: NDI 8700340  s/n:34802401,23734,1,OK,0.7220117,-0.0913495,-0.6816446,0.0755978,-159.651,236.187,-1447.131,0.2470343,4,OK,-159.370,236.202,-1447.160,OK,-209.539,237.769,-1444.450,OK,-259.075,263.155,-1447.554,OK,-295.086,215.843,-1433.961
1,Port 2: NDI 8700340  s/n:34802401,23737,1,OK,0.7218366,-0.0909825,-0.6818746,0.0756381,-159.673,236.080,-1447.191,0.2548362,4,OK,-159.391,236.103,-1447.256,OK,-209.561,237.627,-1444.475,OK,-259.106,262.976,-1447.662,OK,-295.113,215.650,-1434.113
1,Port 2: NDI 8700340  s/n:34802401,23740,1,OK,0.7212660,-0.0904448,-0.6825371,0.0757511,-159.713,235.912,-1447.370,0.2436836,4,OK,-159.437,235.936,-1447.428,OK,-209.606,237.391,-1444.743,OK,-259.186,262.707,-1447.986,OK,-295.133,215.328,-1434.526
1,Port 2: NDI 8700340  s/n:34802401,23743,1,OK,0.7208866,-0.0901891,-0.6829407,0.0760293,-159.748,235.788,-1447.558,0.2506480,4,OK,-159.472,235.811,-1447.603,OK,-209.649,237.236,-1445.006,OK,-259.235,262.478,-1448.267,OK,-295.169,215.090,-1434.846
1,Port 2: NDI 8700340  s/n:34802401,23746,1,OK,0.7208083,-0.0900175,-0.6830015,0.0764280,-159.768,235.668,-1447.632,0.2476961,4,OK,-159.492,235.690,-1447.675,OK,-209.668,237.071,-1445.088,OK,-259.281,262.282,-1448.360,OK,-295.171,214.858,-1434.926
1,Port 2: NDI 8700340  s/n:34802401,23749,1,OK,0.7206853,-0.0907425,-0.6828655,0.0779301,-159.773,235.519,-1447.593,0.2437777,4,OK,-159.497,235.538,-1447.646,OK,-209.679,236.872,-1445.024,OK,-259.312,262.032,-1448.394,OK,-295.151,214.577,-1434.796
